Has_Online_delivery,Photos_url,Price_Range,Rating_text,Rating_Color,Rating_Votes,Aggregate_rating,Restaurant_id,Restaurant_Name,Cuisines,is_delivering_now,Average_cost_for_two,Switch_to_order_menu,Has_table_booking,latitude,Address,City,Country_id,Locality_verbose,City_id,longitude,Locality,Currency
0,https://www.zomato.com/ncr/yomo-your-only-momo-outlet-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,6,3.0,5011,Yomo-Your Only Momo Outlet,Fast Food,0,150,0,0,28.4253531,"HUDA Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0994718,Sector 56,Rs.
1,https://www.zomato.com/munch-1/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,CDD614,9,3.1,310235,Munch,"North Indian, South Indian, Fast Food",0,700,0,0,28.434589,"Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.1349572,Sector 56,Rs.
0,https://www.zomato.com/ncr/aarush-a-mediterranean-kitchen-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,CDD614,6,3.2,18380197,Aarush - A Mediterranean Kitchen,Mediterranean,0,600,0,0,0.0,"Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,0.0,Sector 56,Rs.
0,https://www.zomato.com/ncr/breakfast60-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,6,3.1,18351822,Breakfast@60,"Chinese, North Indian, South Indian, Healthy Food",0,120,0,0,0.0,"801, Arihant CGHS, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,0.0,Sector 56,Rs.
0,https://www.zomato.com/ncr/puskar-raj-momos-chinese-corner-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,4,3.0,18345767,Puskar Raj Momos & Chinese Corner,Chinese,0,200,0,0,28.4252326,"HUDA Market, Near SBI ATM, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0992973,Sector 56,Rs.
0,https://www.zomato.com/ghar-ki-handi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,6,3.0,18423797,Ghar Ki Handi,North Indian,0,300,0,0,0.0,"Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,0.0,Sector 56,Rs.
0,https://www.zomato.com/ncr/new-spice-world-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,2,Average,FFBA00,5,2.9,18251519,New Spice World,"Chinese, Fast Food",0,600,0,0,28.4251681408,"Opposite SBI ATM, Main Huda Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0992974937,Sector 56,Rs.
0,https://www.zomato.com/droolfi-food-truck/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,CDD614,4,3.0,18314053,Droolfi,Desserts,0,100,0,0,28.4251793453,"HUDA Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0995982364,Sector 56,Rs.
0,https://www.zomato.com/ncr/green-chick-chop-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Average,FFBA00,4,2.9,18124345,Green Chick Chop,"Raw Meats, Fast Food",0,350,0,0,28.4250375,"Shop 114-E, HUDA Market, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.0992983,Sector 56,Rs.
0,https://www.zomato.com/ncr/nukkadwala-sector-56-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,1,Not rated,CBCBC8,3,0.0,5935,Nukkadwala,"Fast Food, Street Food",0,300,0,0,28.4319337,"Asf, Insignia, Gwal Pahari, Gurgaon-Faridabad Road, Sector 56, Gurgaon",Gurgaon,1,"Sector 56, Gurgaon",1,77.1529576,Sector 56,Rs.
